"Time","Replicas","Desired","CPU","Mem","P95","KEDA","Queue"
"00:00","5","5","89","312","N/A","N/A","0"
"00:07","5","5","238","319","N/A","N/A","0"
"00:16","5","5","238","319","732","N/A","0"
"00:23","5","5","1121","322","811","N/A","0"
"00:29","5","5","1121","322","815","N/A","0"
"00:36","5","5","872","325","867","N/A","0"
"00:43","5","5","872","325","891","N/A","0"
"00:50","5","8","872","325","895","177","0"
"00:57","5","8","825","328","902","177","0"
"01:05","5","8","825","328","919","177","0"
"01:12","5","8","765","325","930","177","0"
"01:19","5","8","765","325","926","177","0"
"01:26","5","8","743","325","923","177","0"
"01:33","5","8","743","325","920","177","0"
"01:39","5","8","748","325","920","177","0"
"01:46","5","8","748","325","901","177","0"
"01:53","8","10","735","326","905","114","0"
"02:00","8","10","735","326","917","114","0"
