timestamp,elapsed_sec,replicas,cpu_m,mem_mi,p95_latency_ms,queue_len
2025-11-12 11:05:41,0,3,89,357,0,0
2025-11-12 11:05:48,6.8,3,89,357,0,0
2025-11-12 11:05:54,13.7,3,558,357,0,0
2025-11-12 11:06:01,20.3,3,558,357,0,0
2025-11-12 11:06:08,27,3,999,357,0,0
2025-11-12 11:06:14,33.6,3,999,357,0,0
2025-11-12 11:06:21,40.7,3,997,357,0,0
2025-11-12 11:06:28,47.2,3,997,357,0,0
2025-11-12 11:06:35,53.8,3,997,357,0,0
2025-11-12 11:06:42,61,3,1000,357,0,0
2025-11-12 11:06:48,67.4,3,1000,357,0,0
2025-11-12 11:06:56,75.1,3,995,357,0,0
2025-11-12 11:07:02,81.6,3,995,357,0,0
2025-11-12 11:07:09,88.1,3,999,357,0,0
2025-11-12 11:07:16,94.8,3,999,357,0,0
