inference-lb-1  | 172.18.0.1:51862 [23/Oct/2025:18:03:36.022] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/73/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52210 [23/Oct/2025:18:03:27.994] inference_fe inference_be/srv1 0/0/0/7888/8029 200 479 - - ---- 200/200/73/73/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52226 [23/Oct/2025:18:03:27.759] inference_fe inference_be/srv1 0/0/0/8152/8266 200 479 - - ---- 200/200/72/72/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51790 [23/Oct/2025:18:03:27.828] inference_fe inference_be/srv1 0/0/0/8189/8225 200 479 - - ---- 200/200/71/71/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52506 [23/Oct/2025:18:03:28.180] inference_fe inference_be/srv1 0/0/0/7843/7903 200 479 - - ---- 200/200/70/70/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52416 [23/Oct/2025:18:03:36.095] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/70/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51778 [23/Oct/2025:18:03:36.132] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/70/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52632 [23/Oct/2025:18:03:36.145] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/70/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52804 [23/Oct/2025:18:03:36.159] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/70/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52268 [23/Oct/2025:18:03:36.180] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/70/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51932 [23/Oct/2025:18:03:36.187] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/70/0/0 0/0 "POST /predict HTTP/1.1"
