Replicas,Workers,Users,RPS,Median_ms,P95_ms,P99_ms,Failures_Pct,Total_Requests,Duration_s
1,4,200,39.8,3700.0,5200.0,5800.0,0,2896,60
1,4,400,31.1,7900.0,15000.0,16000.0,0,2577,60
1,4,800,33.4,12000.0,24000.0,27000.0,0,3032,60
2,4,200,57.2,1900.0,2700.0,3200.0,0,4267,60
2,4,400,60.3,5400.0,7000.0,7700.0,0,4262,60
2,4,800,60.7,8300.0,16000.0,17000.0,0,4528,60
4,4,200,88.2,570.0,1200.0,1700.0,0,6228,60
4,4,400,98.8,1900.0,3800.0,4700.0,0,7253,60
4,4,800,100.2,5200.0,12000.0,15000.0,0,6114,60
8,4,200,86.5,370.0,1100.0,1400.0,0,6499,60
8,4,400,82.3,2500.0,4200.0,5200.0,0,6005,60
8,4,800,82.8,4400.0,14000.0,21000.0,0,5740,60
1,8,200,36.8,1500.0,2600.0,3000.0,0,2576,60
1,8,400,35.3,5800.0,8700.0,9100.0,0,2874,60
1,8,800,36.3,8900.0,16000.0,17000.0,0,3365,60
2,8,200,54.9,100.0,530.0,1200.0,0,4015,60
2,8,400,72.8,2100.0,5300.0,8500.0,0,4366,60
2,8,800,61.8,6700.0,8800.0,9500.0,0,5241,60
4,8,200,58.2,36,140.0,250.0,0,4266,60
4,8,400,102.2,300.0,830.0,1100.0,0,7485,60
4,8,800,108.7,2400.0,3700.0,4200.0,0,8317,60
8,8,200,58.9,33,100.0,170.0,0,4359,60
8,8,400,111.8,82,420.0,740.0,0,8273,60
8,8,800,122.7,1100.0,2500.0,3200.0,0,9818,60
