inference-lb-1  | 127.0.0.1:54822 [23/Oct/2025:17:04:47.585] inference_fe inference_be/srv1 0/0/0/4/4 200 227 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:54836 [23/Oct/2025:17:04:52.702] inference_fe inference_be/srv2 0/0/0/4/4 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:43970 [23/Oct/2025:17:04:57.802] inference_fe inference_be/srv1 0/0/0/3/3 200 227 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:43976 [23/Oct/2025:17:05:02.913] inference_fe inference_be/srv2 0/0/0/2/3 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:56620 [23/Oct/2025:17:05:08.024] inference_fe inference_be/srv1 0/0/0/3/3 200 227 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:56622 [23/Oct/2025:17:05:13.126] inference_fe inference_be/srv2 0/0/0/2/3 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:46530 [23/Oct/2025:17:05:18.232] inference_fe inference_be/srv1 0/0/0/2/2 200 227 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:46544 [23/Oct/2025:17:05:23.335] inference_fe inference_be/srv2 0/0/0/2/3 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:58980 [23/Oct/2025:17:05:28.443] inference_fe inference_be/srv1 0/0/0/6/6 200 227 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:58996 [23/Oct/2025:17:05:33.549] inference_fe inference_be/srv2 0/0/0/4/4 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:42324 [23/Oct/2025:17:05:38.654] inference_fe inference_be/srv1 0/0/0/5/5 200 227 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:42338 [23/Oct/2025:17:05:43.752] inference_fe inference_be/srv2 0/0/0/2/2 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:40500 [23/Oct/2025:17:05:48.873] inference_fe inference_be/srv1 0/0/0/2/2 200 227 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:40512 [23/Oct/2025:17:05:53.988] inference_fe inference_be/srv2 0/0/0/7/7 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:42004 [23/Oct/2025:17:05:59.110] inference_fe inference_be/srv1 0/0/0/3/3 200 227 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:42006 [23/Oct/2025:17:06:04.203] inference_fe inference_be/srv2 0/0/0/2/3 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:36224 [23/Oct/2025:17:06:09.311] inference_fe inference_be/srv1 0/0/0/3/3 200 227 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:36236 [23/Oct/2025:17:06:14.414] inference_fe inference_be/srv2 0/0/0/2/2 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:33172 [23/Oct/2025:17:06:19.533] inference_fe inference_be/srv1 0/0/1/7/8 200 227 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:33176 [23/Oct/2025:17:06:24.654] inference_fe inference_be/srv2 0/0/0/2/2 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:59086 [23/Oct/2025:17:06:29.749] inference_fe inference_be/srv1 0/0/0/2/2 200 227 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:59092 [23/Oct/2025:17:06:34.826] inference_fe inference_be/srv2 0/0/0/2/4 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:49106 [23/Oct/2025:17:06:39.942] inference_fe inference_be/srv1 0/0/0/3/3 200 227 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | [WARNING]  (8) : Server inference_be/srv1 is DOWN, reason: Layer4 connection problem, info: "Connection refused", check duration: 0ms. 1 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue.
inference-lb-1  | Server inference_be/srv1 is DOWN, reason: Layer4 connection problem, info: "Connection refused", check duration: 0ms. 1 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue.
inference-lb-1  | [WARNING]  (8) : Server inference_be/srv2 is DOWN, reason: Layer4 connection problem, info: "Connection refused", check duration: 0ms. 0 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue.
inference-lb-1  | Server inference_be/srv2 is DOWN, reason: Layer4 connection problem, info: "Connection refused", check duration: 0ms. 0 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue.
inference-lb-1  | backend inference_be has no server available!
inference-lb-1  | [ALERT]    (8) : backend 'inference_be' has no server available!
inference-lb-1  | 127.0.0.1:49120 [23/Oct/2025:17:06:45.042] inference_fe inference_be/srv2 0/0/-1/-1/5047 503 217 - - SC-- 1/1/0/0/3 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | [WARNING]  (1) : Process 1210 exited with code 1 (Exit)
inference-lb-1  | 127.0.0.1:51686 [23/Oct/2025:17:06:53.151] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | Server inference_be/srv2 is UP, reason: Layer7 check passed, code: 200, check duration: 9ms. 1 active and 0 backup servers online. 0 sessions requeued, 0 total in queue.
