[2025-10-28 18:16:42,986] 10b19b4c06dd/INFO/locust.main: Starting Locust 2.41.5
[2025-10-28 18:16:43,013] 10b19b4c06dd/INFO/locust.runners: c726e2c94af7_fa9fd3a8775a4d5d88617b04238f2c32 (index 0) reported as ready. 1 workers connected.
[2025-10-28 18:16:43,108] 10b19b4c06dd/INFO/locust.runners: 6d890892874d_71ad312f41fb4c3ba2b96d278af471cc (index 1) reported as ready. 2 workers connected.
[2025-10-28 18:16:43,108] 10b19b4c06dd/INFO/locust.runners: 6d890892874d_71ad312f41fb4c3ba2b96d278af471cc (index 1) reported as ready. 2 workers connected.
[2025-10-28 18:16:43,109] 10b19b4c06dd/INFO/locust.runners: 6d890892874d_71ad312f41fb4c3ba2b96d278af471cc (index 1) reported as ready. 2 workers connected.
[2025-10-28 18:16:43,959] 10b19b4c06dd/INFO/locust.runners: cf76d895c4da_1ac74f4409af402a8a639ad09e127180 (index 2) reported as ready. 3 workers connected.
[2025-10-28 18:16:43,962] 10b19b4c06dd/INFO/locust.runners: cf76d895c4da_1ac74f4409af402a8a639ad09e127180 (index 2) reported as ready. 3 workers connected.
[2025-10-28 18:16:43,962] 10b19b4c06dd/INFO/locust.runners: cf76d895c4da_1ac74f4409af402a8a639ad09e127180 (index 2) reported as ready. 3 workers connected.
[2025-10-28 18:16:43,963] 10b19b4c06dd/INFO/locust.runners: cf76d895c4da_1ac74f4409af402a8a639ad09e127180 (index 2) reported as ready. 3 workers connected.
[2025-10-28 18:16:46,659] 10b19b4c06dd/INFO/locust.runners: 7c54361f82ac_480b45352a9e403892e5a8ef261e81fa (index 3) reported as ready. 4 workers connected.
[2025-10-28 18:16:46,660] 10b19b4c06dd/INFO/locust.runners: 7c54361f82ac_480b45352a9e403892e5a8ef261e81fa (index 3) reported as ready. 4 workers connected.
[2025-10-28 18:16:46,660] 10b19b4c06dd/INFO/locust.runners: 7c54361f82ac_480b45352a9e403892e5a8ef261e81fa (index 3) reported as ready. 4 workers connected.
[2025-10-28 18:16:47,005] 10b19b4c06dd/INFO/locust.main: Run time limit set to 120 seconds
[2025-10-28 18:16:47,006] 10b19b4c06dd/INFO/locust.runners: Sending spawn jobs of 400 users at 60.00 spawn rate to 4 ready workers
[2025-10-28 18:16:55,413] 10b19b4c06dd/INFO/locust.runners: All users spawned: {"PipelineUser": 400} (400 total users)
[2025-10-28 18:18:47,001] 10b19b4c06dd/INFO/locust.main: --run-time limit reached, shutting down
[2025-10-28 18:18:47,156] 10b19b4c06dd/INFO/locust.runners: Worker '6d890892874d_71ad312f41fb4c3ba2b96d278af471cc' (index 1) quit. 0 workers ready.
[2025-10-28 18:18:48,007] 10b19b4c06dd/INFO/locust.main: Shutting down (exit code 0)
